id,fecha,pan_frances,galletitas_dulces,galletitas_de_agua,harina_de_trigo,harina_de_maiz,arroz,fideos_secos,asado,carnaza_comun,hueso_con_carne,paleta,carne_picada,nalga,higado,pechito_de_cerdo,pollo,carne_de_pescado,mortadela,paleta_cocida,salchich¢n,salame,aceite_de_girasol,margarina_para_cocinar,leche_fluida,leche_en_polvo_entera,queso_crema,queso_cuartirolo,queso_de_rallar,manteca,yogur,dulce_de_leche,huevo,manzana,naranja,banana,pera,batata,papa,acelga,cebolla,choclo,lechuga,tomate_perita,zanahoria,zapallo,tomate_envasado,arvejas_en_lata,lentejas_secas,azucar,dulce_de_batata,mermelada,sal_fina,mayonesa,vinagre,caldo_concentrado,gaseosas,jugos_concentrados,soda,cerveza,vino,cafe,yerba,te_en_saquitos,mandarina
8,2023-03-18,1027.14,198.49,349.99,201.75,229.02,223.89,355.5,1599.9,1049.9,429.9,1499.9,999.9,1299.9,299.9,1049.9,479.9,1690.0,1220.0,1909.0,1049.0,4263.33,574.74,277.05,242.15,1485.55,264.2,1469.0,2699.0,1592.0,236.25,736.12,1361.0,499.0,499.0,419.0,199.0,479.0,239.0,329.0,229.0,199.0,899.0,699.0,249.0,199.0,614.16,509.04,1313.15,304.22,726.0,581.26,316.3,640.49,179.6,0.0,92.52,224.67,117.5,397.0,454.0,8305.800000000001,770.85,418.56,1.0
9,2023-03-19,1027.14,198.49,349.99,201.75,229.02,223.89,355.5,1599.9,1049.9,429.9,1499.9,999.9,1299.9,299.9,1049.9,479.9,1690.0,1220.0,1909.0,1049.0,4263.33,574.74,277.05,242.15,1485.55,264.2,1469.0,2699.0,1592.0,236.25,736.12,1361.0,499.0,499.0,419.0,199.0,479.0,239.0,329.0,229.0,199.0,899.0,699.0,249.0,199.0,614.16,509.04,1313.15,304.22,726.0,581.26,316.3,640.49,179.6,0.0,92.52,224.67,117.5,397.0,454.0,8305.800000000001,770.85,418.56,1.0
14,2023-03-20,1027.14,198.49,349.99,201.75,229.02,223.89,355.5,1599.9,1049.9,529.9,1499.9,999.9,1749.9,299.9,1049.9,479.9,1690.0,1630.0,1909.0,1325.0,4263.33,574.74,277.05,242.15,1485.55,264.2,1469.0,1999.0,1592.0,236.25,736.12,1361.0,499.0,499.0,449.0,249.0,479.0,269.0,329.0,229.0,199.0,899.0,699.0,249.0,169.0,614.16,509.04,1313.15,304.22,726.0,581.26,316.3,640.49,179.6,0.0,92.52,224.67,117.5,397.0,454.0,8305.800000000001,770.85,418.56,1.0
15,2023-03-21,1071.42,198.49,349.99,201.75,229.02,223.89,355.5,1599.9,1049.9,529.9,1499.9,999.9,1749.9,299.9,1049.9,479.9,1690.0,1630.0,1909.0,1049.0,4263.33,574.74,277.05,242.15,1485.55,264.2,1469.0,1999.0,1592.0,236.25,736.12,1361.0,499.0,499.0,449.0,249.0,479.0,269.0,319.0,229.0,199.0,999.0,699.0,249.0,169.0,614.16,509.04,1313.15,304.22,726.0,581.26,316.3,640.49,179.6,0.0,92.52,224.67,117.5,397.0,454.0,8305.800000000001,770.85,418.56,1.0
16,2023-03-22,1071.42,198.49,349.99,201.75,229.02,223.89,355.5,1599.9,1049.9,529.9,1499.9,999.9,1749.9,299.9,1049.9,479.9,1690.0,1630.0,1909.0,1049.0,4263.33,574.74,277.05,242.15,1485.55,264.2,1469.0,1999.0,1592.0,236.25,736.12,1361.0,499.0,499.0,449.0,249.0,499.0,269.0,319.0,229.0,199.0,999.0,699.0,249.0,169.0,614.16,509.04,1444.47,304.22,726.0,581.26,316.3,640.49,179.6,0.0,92.52,224.67,117.5,397.0,454.0,8305.800000000001,770.85,418.56,1.0
17,2023-03-23,1071.42,198.49,349.99,201.75,229.02,223.89,355.5,1599.9,1049.9,529.9,1499.9,999.9,1749.9,299.9,1049.9,479.9,1690.0,1630.0,1909.0,1049.0,4263.33,574.74,277.05,242.15,1485.55,264.2,1469.0,1999.0,1592.0,236.25,736.12,1361.0,499.0,599.0,449.0,249.0,499.0,269.0,329.0,199.0,249.0,1099.0,699.0,279.0,169.0,614.16,509.04,1444.47,304.22,726.0,581.26,316.3,640.49,179.6,0.0,92.52,224.67,117.5,397.0,454.0,8305.800000000001,770.85,418.56,1.0
18,2023-03-24,1071.42,198.49,349.99,201.75,229.02,223.89,355.5,949.9,1049.9,529.9,1499.9,999.9,1749.9,299.9,829.9,479.9,1690.0,1630.0,1909.0,1049.0,4263.33,574.74,277.05,242.15,1485.55,264.2,1469.0,1999.0,1592.0,236.25,736.12,1361.0,499.0,599.0,449.0,249.0,499.0,269.0,329.0,199.0,199.0,1199.0,699.0,279.0,169.0,614.16,509.04,1444.47,304.22,726.0,581.26,316.3,640.49,179.6,0.0,92.52,224.67,117.5,397.0,454.0,8305.800000000001,770.85,418.56,1.0
19,2023-03-25,1071.42,198.49,349.99,201.75,229.02,223.89,355.5,949.9,1049.9,529.9,1499.9,999.9,1749.9,299.9,829.9,479.9,1690.0,1630.0,1909.0,1049.0,4263.33,574.74,277.05,242.15,1485.55,264.2,1469.0,1999.0,1592.0,236.25,736.12,1361.0,499.0,599.0,449.0,249.0,499.0,269.0,329.0,199.0,199.0,1199.0,699.0,279.0,169.0,614.16,509.04,1444.47,304.22,726.0,581.26,316.3,640.49,179.6,0.0,92.52,224.67,117.5,397.0,454.0,8305.800000000001,770.85,418.56,1.0
20,2023-03-26,1071.42,198.49,349.99,201.75,229.02,223.89,355.5,949.9,1049.9,529.9,1499.9,999.9,1749.9,299.9,829.9,479.9,1690.0,1630.0,1909.0,1049.0,4263.33,574.74,277.05,242.15,1485.55,264.2,1469.0,1999.0,1592.0,236.25,736.12,1361.0,499.0,599.0,449.0,249.0,499.0,269.0,329.0,199.0,199.0,1199.0,699.0,279.0,169.0,614.16,509.04,1444.47,304.22,726.0,581.26,316.3,640.49,179.6,0.0,92.52,224.67,117.5,397.0,454.0,8305.800000000001,770.85,418.56,1.0
21,2023-03-27,1071.42,198.49,349.99,201.75,229.02,223.89,355.5,1599.9,1049.9,529.9,1499.9,1349.9,1749.9,299.9,1049.9,479.9,1690.0,1630.0,1909.0,1325.0,4263.33,574.74,277.05,242.15,1485.55,264.2,1469.0,2699.0,1592.0,236.25,736.12,1361.0,449.0,599.0,449.0,189.0,499.0,269.0,329.0,199.0,199.0,1199.0,699.0,279.0,199.0,614.16,509.04,1444.47,304.22,726.0,581.26,316.3,640.49,179.6,0.0,92.52,224.67,117.5,397.0,454.0,8305.800000000001,770.85,418.56,1.0
